tanggal_waktu,target_karbon_monoksida,target_benzena,target_nitrogen_oksida
2011-01-01 00:00:00,2.05,4.247511134487999,318.89
2011-01-01 01:00:00,1.6,8.7630270943637,214.9
2011-01-01 02:00:00,2.5,7.498693453031173,299.8
2011-01-01 03:00:00,2.7,7.563761174473438,276.45
2011-01-01 04:00:00,1.9,5.5604956576171745,253.1
2011-01-01 05:00:00,1.4,4.794557233587375,181.0
2011-01-01 06:00:00,1.5,5.277767706408433,170.7
2011-01-01 07:00:00,1.4,4.458206702990225,168.1
2011-01-01 08:00:00,1.1,3.0118331420208437,168.7
2011-01-01 09:00:00,1.0,2.9520580241817154,145.4
2011-01-01 10:00:00,1.2,4.702231772969308,190.1
2011-01-01 11:00:00,1.7,5.367897358919057,224.5
2011-01-01 12:00:00,2.3,7.416226879535422,260.8
2011-01-01 13:00:00,2.2,8.356986220752834,381.8
2011-01-01 14:00:00,2.4,8.864232997095865,357.1
2011-01-01 15:00:00,2.2,7.910799352772567,299.2
2011-01-01 16:00:00,2.1,7.658832618007967,312.5
2011-01-01 17:00:00,3.0,12.08361306735752,510.2
2011-01-01 18:00:00,4.7,16.59465306613999,832.4
2011-01-01 19:00:00,3.6,11.411592481675298,622.1
2011-01-01 20:00:00,2.5,7.941026771297775,401.6
2011-01-01 21:00:00,2.3,8.14175871073353,333.9
2011-01-01 22:00:00,2.1,6.3853200900791585,294.7
2011-01-01 23:00:00,1.7,5.191654203204007,221.7
2011-01-02 00:00:00,1.8,5.232102970332502,229.5
2011-01-02 01:00:00,1.6,4.270706811760649,194.7
2011-01-02 02:00:00,1.3,3.551096219905272,167.2
2011-01-02 03:00:00,1.3,4.519882381598143,157.8
2011-01-02 04:00:00,1.3,3.339212977494369,148.4
2011-01-02 05:00:00,1.1,2.7104322698706853,122.6
2011-01-02 06:00:00,1.0,2.408114346922603,148.4
2011-01-02 07:00:00,1.0,2.638152338588159,142.7
2011-01-02 08:00:00,1.2,3.3517690595025225,179.6
2011-01-02 09:00:00,1.3,3.8703668977541836,225.9
2011-01-02 10:00:00,1.6,4.927070715920718,254.2
2011-01-02 11:00:00,2.2,7.510506118812435,372.3
2011-01-02 12:00:00,2.2,7.078731968506726,379.0
2011-01-02 13:00:00,2.8,9.586489285350797,477.6
2011-01-02 14:00:00,2.1,6.540487668220774,344.1
2011-01-02 15:00:00,1.6,5.544912138895297,257.6
2011-01-02 16:00:00,2.8,10.536647597459748,474.0
2011-01-02 17:00:00,2.6,8.915021639753098,438.2
